Task,Trial,Base,RL_TD3,RL_SAC,RL_PPO,Res_TD3,Res_SAC,Res_PPO
rubix-stack-v1,1,0.5,0,0.25,0,0.5,0.5,0.5
rubix-stack-v1,2,0.5,0.25,0,0.25,0.5,0.75,0.5
rubix-stack-v1,3,0.75,0,0.25,0,0.75,0.75,0.75
rubix-stack-v1,4,0.5,0.25,0.25,0.25,0.5,0.75,0.75
rubix-stack-v1,5,0.25,0,0,0,0.75,0.75,0.5
rubix-stack-v1,6,0.5,0.25,0.25,0.25,0.75,0.75,0.75
rubix-stack-v1,7,0.25,0,0.5,0,0.5,0.75,0.5
rubix-stack-v1,8,0.5,0.25,0,0.25,0.75,1,0.75
rubix-stack-v1,9,0.25,0,0.25,0,0.75,0.75,0.75
rubix-stack-v1,10,0.5,0.25,0.25,0.25,0.75,1,0.75
rubix-stack-v1,11,0.25,0.25,0.25,0,0.5,0.75,0.5
rubix-stack-v1,12,0,0,0,0.25,0.5,0.75,0.75
rubix-stack-v1,13,0.25,0.25,0.5,0,0.75,0.75,0.5
rubix-stack-v1,14,0,0,0,0,0.5,0.5,0.5
rubix-stack-v1,15,0.25,0.25,0.25,0.25,0.75,0.75,0.75
rubix-stack-v1,16,0,0,0.25,0,0.5,0.75,0.5
rubix-stack-v1,17,0.25,0.25,0,0.25,0.5,0.5,0.75
rubix-stack-v1,18,0,0,0.25,0,0.75,0.75,0.5
rubix-stack-v1,19,0.25,0.25,0.5,0.25,0.5,0.75,0.75
rubix-stack-v1,20,0,0,0,0,0.75,0.75,0.5
MP,,0.2875,0.125,0.2,0.1125,0.625,0.7375,0.625
Gen,,0.125,0.125,0.2,0.1,0.6,0.7,0.6
Transfer Gap,,,,,,0.475,0.575,0.475
,,,,,,,,

bus-table-easy-v1,1,1,0.25,0.5,0.25,1,1,1
bus-table-easy-v1,2,1,0.25,0.25,0.5,1,1,0.75
bus-table-easy-v1,3,0.75,0.5,0.75,0.25,1,1,1
bus-table-easy-v1,4,1,0.25,0.5,0.25,1,1,1
bus-table-easy-v1,5,1,0,0.25,0,0.75,1,1
bus-table-easy-v1,6,0.75,0.25,0.5,0.5,1,1,1
bus-table-easy-v1,7,1,0.5,0.75,0.25,1,1,1
bus-table-easy-v1,8,0.75,0,0.25,0.25,1,1,0.75
bus-table-easy-v1,9,1,0.25,0.5,0.5,1,1,1
bus-table-easy-v1,10,1,0.25,0.25,0.25,1,1,1
bus-table-easy-v1,11,0.5,0.25,0.5,0,1,1,1
bus-table-easy-v1,12,0.75,0,0.25,0.25,0.75,1,0.75
bus-table-easy-v1,13,0.5,0.25,0.5,0.5,1,1,1
bus-table-easy-v1,14,0.75,0.5,0.25,0.25,1,1,1
bus-table-easy-v1,15,0.5,0,0,0,0.75,1,0.75
