Task,Metric,Method,Mean,CI_95
rubix-stack-v1,MeanProgress,Base,0.2875,0.10238914739293793
rubix-stack-v1,Generalization,Base,0.125,0.09425654845225412
rubix-stack-v1,MeanProgress,RL_TD3,0.125,0.06002158118135127
rubix-stack-v1,Generalization,RL_TD3,0.125,0.09425654845225412
rubix-stack-v1,MeanProgress,RL_SAC,0.2,0.08141723393617324
rubix-stack-v1,Generalization,RL_SAC,0.2,0.14107028430727703
rubix-stack-v1,MeanProgress,RL_PPO,0.1125,0.05972071923071964
rubix-stack-v1,Generalization,RL_PPO,0.1,0.09235217944957685
rubix-stack-v1,MeanProgress,Res_TD3,0.625,0.06002158118135127
rubix-stack-v1,Generalization,Res_TD3,0.6,0.09235217944957685
rubix-stack-v1,TransferGap,Res_TD3,0.475,0.13195916783315575
rubix-stack-v1,MeanProgress,Res_SAC,0.7375,0.05972071923071964
rubix-stack-v1,Generalization,Res_SAC,0.7,0.0754052387618033
rubix-stack-v1,TransferGap,Res_SAC,0.575,0.1207072779862784
rubix-stack-v1,MeanProgress,Res_PPO,0.625,0.06002158118135127
rubix-stack-v1,Generalization,Res_PPO,0.6,0.09235217944957685
rubix-stack-v1,TransferGap,Res_PPO,0.475,0.10151740951340942
bus-table-easy-v1,MeanProgress,Base,0.775,0.09220690261429738
bus-table-easy-v1,Generalization,Base,0.625,0.09425654845225412
bus-table-easy-v1,MeanProgress,RL_TD3,0.2375,0.08030340261434804
bus-table-easy-v1,Generalization,RL_TD3,0.225,0.13195916783315575
bus-table-easy-v1,MeanProgress,RL_SAC,0.4,0.08821334846960867
bus-table-easy-v1,Generalization,RL_SAC,0.35,0.12504544210003235
bus-table-easy-v1,MeanProgress,RL_PPO,0.275,0.0840302136538918
bus-table-easy-v1,Generalization,RL_PPO,0.25,0.14602161697062904
bus-table-easy-v1,MeanProgress,Res_TD3,0.95,0.048017264945081024
bus-table-easy-v1,Generalization,Res_TD3,0.925,0.08638755360554544
bus-table-easy-v1,TransferGap,Res_TD3,0.3,0.14107028430727703
bus-table-easy-v1,MeanProgress,Res_SAC,1.0,0.0
bus-table-easy-v1,Generalization,Res_SAC,1.0,0.0
bus-table-easy-v1,TransferGap,Res_SAC,0.375,0.09425654845225412
bus-table-easy-v1,MeanProgress,Res_PPO,0.925,0.05501068781889584
bus-table-easy-v1,Generalization,Res_PPO,0.9,0.09235217944957685
bus-table-easy-v1,TransferGap,Res_PPO,0.275,0.13195916783315575
bus-table-medium-v1,MeanProgress,Base,0.6125,0.12859194785237835
bus-table-medium-v1,Generalization,Base,0.375,0.09425654845225412
bus-table-medium-v1,MeanProgress,RL_TD3,0.1375,0.059720719230719636
bus-table-medium-v1,Generalization,RL_TD3,0.125,0.09425654845225412
bus-table-medium-v1,MeanProgress,RL_SAC,0.325,0.07686512824627074
bus-table-medium-v1,Generalization,RL_SAC,0.275,0.13195916783315575
bus-table-medium-v1,MeanProgress,RL_PPO,0.175,0.07686512824627076
bus-table-medium-v1,Generalization,RL_PPO,0.175,0.12070727798627841
bus-table-medium-v1,MeanProgress,Res_TD3,0.775,0.0840302136538918
bus-table-medium-v1,Generalization,Res_TD3,0.65,0.09235217944957685
bus-table-medium-v1,TransferGap,Res_TD3,0.275,0.13195916783315575
bus-table-medium-v1,MeanProgress,Res_SAC,0.9,0.058808898979739115
bus-table-medium-v1,Generalization,Res_SAC,0.8,0.0754052387618033
bus-table-medium-v1,TransferGap,Res_SAC,0.425,0.12070727798627841
bus-table-medium-v1,MeanProgress,Res_PPO,0.7875,0.07848840204030987
bus-table-medium-v1,Generalization,Res_PPO,0.675,0.08638755360554544
bus-table-medium-v1,TransferGap,Res_PPO,0.3,0.11310785814270494
bus-table-hard-v1,MeanProgress,Base,0.375,0.13421233563852358
bus-table-hard-v1,Generalization,Base,0.125,0.09425654845225412
bus-table-hard-v1,MeanProgress,RL_TD3,0.125,0.06002158118135127
bus-table-hard-v1,Generalization,RL_TD3,0.125,0.09425654845225412
bus-table-hard-v1,MeanProgress,RL_SAC,0.2,0.08141723393617323
bus-table-hard-v1,Generalization,RL_SAC,0.2,0.14107028430727703
bus-table-hard-v1,MeanProgress,RL_PPO,0.125,0.06002158118135127
bus-table-hard-v1,Generalization,RL_PPO,0.125,0.09425654845225412
bus-table-hard-v1,MeanProgress,Res_TD3,0.6125,0.05972071923071964
bus-table-hard-v1,Generalization,Res_TD3,0.575,0.08638755360554544
bus-table-hard-v1,TransferGap,Res_TD3,0.45,0.11310785814270494
bus-table-hard-v1,MeanProgress,Res_SAC,0.7375,0.05972071923071964
bus-table-hard-v1,Generalization,Res_SAC,0.675,0.08638755360554544
bus-table-hard-v1,TransferGap,Res_SAC,0.55,0.11310785814270494
bus-table-hard-v1,MeanProgress,Res_PPO,0.6125,0.05972071923071964
bus-table-hard-v1,Generalization,Res_PPO,0.575,0.08638755360554544
bus-table-hard-v1,TransferGap,Res_PPO,0.45,0.0754052387618033
close-bottle-lid-v1,MeanProgress,Base,0.4375,0.12518493281008902
close-bottle-lid-v1,Generalization,Base,0.225,0.13195916783315575
close-bottle-lid-v1,MeanProgress,RL_TD3,0.125,0.06002158118135127
close-bottle-lid-v1,Generalization,RL_TD3,0.125,0.09425654845225412
close-bottle-lid-v1,MeanProgress,RL_SAC,0.2375,0.08882382875358333
close-bottle-lid-v1,Generalization,RL_SAC,0.2,0.14107028430727703
close-bottle-lid-v1,MeanProgress,RL_PPO,0.125,0.06002158118135127
close-bottle-lid-v1,Generalization,RL_PPO,0.125,0.09425654845225412
close-bottle-lid-v1,MeanProgress,Res_TD3,0.6375,0.05972071923071964
close-bottle-lid-v1,Generalization,Res_TD3,0.6,0.09235217944957685
close-bottle-lid-v1,TransferGap,Res_TD3,0.375,0.15198411761741268
close-bottle-lid-v1,MeanProgress,Res_SAC,0.7375,0.05972071923071964
close-bottle-lid-v1,Generalization,Res_SAC,0.675,0.08638755360554544
close-bottle-lid-v1,TransferGap,Res_SAC,0.45,0.18470435889915365
close-bottle-lid-v1,MeanProgress,Res_PPO,0.6375,0.05972071923071964
close-bottle-lid-v1,Generalization,Res_PPO,0.6,0.09235217944957685
close-bottle-lid-v1,TransferGap,Res_PPO,0.375,0.17380048776930757
erase-whiteboard-v1,MeanProgress,Base,0.8125,0.07472626594203534
erase-whiteboard-v1,Generalization,Base,0.7,0.0754052387618033
erase-whiteboard-v1,MeanProgress,RL_TD3,0.625,0.06002158118135127
erase-whiteboard-v1,Generalization,RL_TD3,0.625,0.09425654845225412
erase-whiteboard-v1,MeanProgress,RL_SAC,0.7875,0.06869783964461693
erase-whiteboard-v1,Generalization,RL_SAC,0.775,0.10151740951340939
erase-whiteboard-v1,MeanProgress,RL_PPO,0.6,0.06999659050420226
erase-whiteboard-v1,Generalization,RL_PPO,0.6,0.09235217944957685
erase-whiteboard-v1,MeanProgress,Res_TD3,0.9625,0.04286398261745946
erase-whiteboard-v1,Generalization,Res_TD3,0.925,0.08638755360554544
erase-whiteboard-v1,TransferGap,Res_TD3,0.225,0.13195916783315575
erase-whiteboard-v1,MeanProgress,Res_SAC,1.0,0.0
erase-whiteboard-v1,Generalization,Res_SAC,1.0,0.0
erase-whiteboard-v1,TransferGap,Res_SAC,0.3,0.0754052387618033
erase-whiteboard-v1,MeanProgress,Res_PPO,0.9625,0.04286398261745946
erase-whiteboard-v1,Generalization,Res_PPO,0.95,0.0754052387618033
erase-whiteboard-v1,TransferGap,Res_PPO,0.25,0.11922615099805664
close-french-press-v1,MeanProgress,Base,0.375,0.13421233563852358
close-french-press-v1,Generalization,Base,0.125,0.09425654845225412
close-french-press-v1,MeanProgress,RL_TD3,0.125,0.06002158118135127
close-french-press-v1,Generalization,RL_TD3,0.125,0.09425654845225412
close-french-press-v1,MeanProgress,RL_SAC,0.2,0.08141723393617323
close-french-press-v1,Generalization,RL_SAC,0.175,0.12070727798627841
close-french-press-v1,MeanProgress,RL_PPO,0.125,0.06002158118135127
close-french-press-v1,Generalization,RL_PPO,0.125,0.09425654845225412
close-french-press-v1,MeanProgress,Res_TD3,0.625,0.06002158118135127
close-french-press-v1,Generalization,Res_TD3,0.6,0.09235217944957685
close-french-press-v1,TransferGap,Res_TD3,0.475,0.15659073892195757
close-french-press-v1,MeanProgress,Res_SAC,0.7375,0.05972071923071964
close-french-press-v1,Generalization,Res_SAC,0.675,0.08638755360554544
close-french-press-v1,TransferGap,Res_SAC,0.55,0.14107028430727703
close-french-press-v1,MeanProgress,Res_PPO,0.625,0.06002158118135127
close-french-press-v1,Generalization,Res_PPO,0.6,0.09235217944957685
close-french-press-v1,TransferGap,Res_PPO,0.475,0.15659073892195757
